Dystans (m),Wysokość (m)
21277.654571018564,2125.663818359375
21336.10966599389,2067.888671875
21394.564760969213,2042.436279296875
21453.019855944538,2027.621215820312
21511.474950919866,2019.3427734375
21569.93004589519,2001.854858398438
21628.385140870516,2029.3671875
21686.840235845844,2056.595458984375
21745.29533082117,2091.662109375
21803.750425796494,2130.563232421875
21862.20552077182,2112.608154296875
21920.660615747147,2052.083251953125
21979.11571072247,2009.130004882812
22037.570805697796,1933.145874023438
22096.02590067312,1885.228759765625
22154.48099564845,1829.018432617188
22212.936090623774,1791.456665039062
22271.3911855991,1744.166015625
22329.846280574424,1703.680541992188
22388.301375549752,1581.163940429688
22446.756470525077,1518.50830078125
22505.2115655004,1482.74951171875
22563.66666047573,1439.061401367188
22622.121755451055,1399.280151367188
22680.57685042638,1406.746215820312
22739.031945401704,1429.504638671875
22797.487040377033,1477.340698242188
22855.942135352358,1532.2998046875
22914.397230327682,1686.882446289062
22972.852325303007,1742.708251953125
23031.307420278335,1803.336181640625
23089.76251525366,1856.046997070312
23148.217610228985,1861.563720703125
23206.67270520431,1864.418090820312
23265.127800179638,1828.434814453125
23323.582895154963,1813.348022460938
23382.037990130288,1821.999633789062
23440.493085105616,1786.7314453125
23498.94818008094,1801.489379882812
23557.403275056266,1779.07958984375
23615.85837003159,1775.8369140625
23674.31346500692,1779.151489257812
23732.768559982243,1775.247924804688
23791.22365495757,1769.87744140625
23849.678749932893,1779.843872070312
23908.13384490822,1779.60888671875
23966.588939883546,1742.079345703125
24025.04403485887,1577.998046875
24083.499129834196,1532.520385742188
24141.954224809524,1466.9150390625
24200.40931978485,1417.378051757812
24258.864414760174,1452.816162109375
24317.3195097355,1460.5166015625
24375.774604710827,1449.72021484375
24434.22969968615,1424.793823242188
24492.684794661476,1426.56396484375
24551.139889636805,1408.55712890625
24609.59498461213,1414.04345703125
24668.050079587454,1410.9453125
24726.50517456278,1426.210571289062
24784.960269538107,1428.055053710938
24843.415364513432,1420.464477539062
24901.870459488757,1424.9287109375
24960.32555446408,1432.318115234375
25018.78064943941,1369.196044921875
25077.235744414735,1370.163330078125
25135.69083939006,1460.372192382812
25194.145934365384,1493.623901367188
25252.601029340713,1519.6298828125
25311.056124316037,1535.158813476562
25369.511219291362,1542.046264648438
25427.96631426669,1533.274291992188
25486.421409242015,1541.360961914062
25544.87650421734,1515.803588867188
25603.331599192665,1520.645751953125
25661.786694167993,1553.807006835938
25720.241789143318,1506.733154296875
25778.696884118643,1521.729736328125
25837.151979093967,1527.383422851562
25895.607074069296,1520.60693359375
25954.06216904462,1493.765869140625
26012.517264019945,1468.635375976562
26070.97235899527,1492.368286132812
26129.4274539706,1523.661376953125
26187.882548945923,1547.951049804688
26246.337643921248,1582.761596679688
26304.792738896576,1607.368774414062
26363.2478338719,1622.012451171875
26421.702928847226,1631.926025390625
26480.15802382255,1649.92333984375
26538.61311879788,1677.232543945312
26597.068213773204,1736.436889648438
26655.52330874853,1755.78515625
26713.978403723853,1772.34033203125
26772.43349869918,1732.476440429688
26830.888593674506,1708.581787109375
26889.34368864983,1710.174194335938
26947.798783625156,1772.389282226562
27006.253878600484,1885.679443359375
27064.70897357581,1910.184814453125
27123.164068551134,1923.98681640625
27181.619163526462,1942.044799804688
27240.074258501787,1973.697875976562
27298.52935347711,1933.871459960938
27356.984448452436,1914.554809570312
27415.439543427765,1922.262573242188
27473.89463840309,1927.243408203125
27532.349733378414,1869.10107421875
27590.80482835374,1919.199340820312
27649.259923329068,1950.598999023438
27707.715018304392,1994.904907226562
27766.170113279717,1992.047729492188
27824.62520825504,2015.355834960938
27883.08030323037,2023.141967773438
27941.535398205695,1978.124633789062
27999.99049318102,1990.458984375
28058.445588156348,2002.499755859375
28116.900683131673,2029.044677734375
28175.355778106998,2012.37841796875
28233.810873082322,1979.447021484375
28292.26596805765,1938.857299804688
28350.721063032976,1872.769775390625
28409.1761580083,1826.360717773438
28467.631252983625,1819.572143554688
28526.086347958953,1810.836547851562
28584.541442934278,1869.274780273438
28642.996537909603,1945.510620117188
28701.451632884928,1965.589477539062
28759.906727860256,1987.959106445312
28818.36182283558,2011.289306640625
28876.816917810906,2038.622192382812
28935.27201278623,2098.10888671875
28993.72710776156,2169.097900390625
29052.182202736883,2210.22607421875
29110.63729771221,2233.617919921875
29169.092392687537,2254.916015625
29227.54748766286,2255.009765625
29286.002582638186,2252.486572265625
29344.45767761351,2262.364013671875
29402.91277258884,2252.680419921875
29461.367867564164,2255.35107421875
29519.82296253949,2240.07958984375
29578.278057514814,2273.34765625
29636.733152490142,2300.30908203125
29695.188247465467,2291.61279296875
29753.64334244079,2282.498291015625
29812.098437416116,2284.77978515625
29870.553532391445,2288.856201171875
